,dteday,season,yr,mnth,holiday,weekday,workingday,cnt,month
0,2011-01-01,1,0,1,0,6,0,985,1
1,2011-01-02,1,0,1,0,0,0,801,1
2,2011-01-03,1,0,1,0,1,1,1349,1
3,2011-01-04,1,0,1,0,2,1,1562,1
4,2011-01-05,1,0,1,0,3,1,1600,1
5,2011-01-06,1,0,1,0,4,1,1606,1
6,2011-01-07,1,0,1,0,5,1,1510,1
7,2011-01-08,1,0,1,0,6,0,959,1
8,2011-01-09,1,0,1,0,0,0,822,1
9,2011-01-10,1,0,1,0,1,1,1321,1
10,2011-01-11,1,0,1,0,2,1,1263,1
11,2011-01-12,1,0,1,0,3,1,1162,1
12,2011-01-13,1,0,1,0,4,1,1406,1
13,2011-01-14,1,0,1,0,5,1,1421,1
14,2011-01-15,1,0,1,0,6,0,1248,1
15,2011-01-16,1,0,1,0,0,0,1204,1
16,2011-01-17,1,0,1,1,1,0,1000,1
17,2011-01-18,1,0,1,0,2,1,683,1
18,2011-01-19,1,0,1,0,3,1,1650,1
19,2011-01-20,1,0,1,0,4,1,1927,1
20,2011-01-21,1,0,1,0,5,1,1543,1
21,2011-01-22,1,0,1,0,6,0,981,1
22,2011-01-23,1,0,1,0,0,0,986,1
23,2011-01-24,1,0,1,0,1,1,1416,1
24,2011-01-25,1,0,1,0,2,1,1985,1
25,2011-01-26,1,0,1,0,3,1,506,1
26,2011-01-27,1,0,1,0,4,1,431,1
27,2011-01-28,1,0,1,0,5,1,1167,1
28,2011-01-29,1,0,1,0,6,0,1098,1
29,2011-01-30,1,0,1,0,0,0,1096,1
30,2011-01-31,1,0,1,0,1,1,1501,1
31,2011-02-01,1,0,2,0,2,1,1360,2
32,2011-02-02,1,0,2,0,3,1,1526,2
33,2011-02-03,1,0,2,0,4,1,1550,2
34,2011-02-04,1,0,2,0,5,1,1708,2
35,2011-02-05,1,0,2,0,6,0,1005,2
36,2011-02-06,1,0,2,0,0,0,1623,2
37,2011-02-07,1,0,2,0,1,1,1712,2
38,2011-02-08,1,0,2,0,2,1,1530,2
39,2011-02-09,1,0,2,0,3,1,1605,2
40,2011-02-10,1,0,2,0,4,1,1538,2
41,2011-02-11,1,0,2,0,5,1,1746,2
42,2011-02-12,1,0,2,0,6,0,1472,2
43,2011-02-13,1,0,2,0,0,0,1589,2
44,2011-02-14,1,0,2,0,1,1,1913,2
45,2011-02-15,1,0,2,0,2,1,1815,2
46,2011-02-16,1,0,2,0,3,1,2115,2
47,2011-02-17,1,0,2,0,4,1,2475,2
48,2011-02-18,1,0,2,0,5,1,2927,2
49,2011-02-19,1,0,2,0,6,0,1635,2
50,2011-02-20,1,0,2,0,0,0,1812,2
51,2011-02-21,1,0,2,1,1,0,1107,2
52,2011-02-22,1,0,2,0,2,1,1450,2
53,2011-02-23,1,0,2,0,3,1,1917,2
54,2011-02-24,1,0,2,0,4,1,1807,2
55,2011-02-25,1,0,2,0,5,1,1461,2
56,2011-02-26,1,0,2,0,6,0,1969,2
57,2011-02-27,1,0,2,0,0,0,2402,2
58,2011-02-28,1,0,2,0,1,1,1446,2
59,2011-03-01,1,0,3,0,2,1,1851,3
60,2011-03-02,1,0,3,0,3,1,2134,3
61,2011-03-03,1,0,3,0,4,1,1685,3
62,2011-03-04,1,0,3,0,5,1,1944,3
63,2011-03-05,1,0,3,0,6,0,2077,3
64,2011-03-06,1,0,3,0,0,0,605,3
65,2011-03-07,1,0,3,0,1,1,1872,3
66,2011-03-08,1,0,3,0,2,1,2133,3
67,2011-03-09,1,0,3,0,3,1,1891,3
68,2011-03-10,1,0,3,0,4,1,623,3
69,2011-03-11,1,0,3,0,5,1,1977,3
70,2011-03-12,1,0,3,0,6,0,2132,3
71,2011-03-13,1,0,3,0,0,0,2417,3
72,2011-03-14,1,0,3,0,1,1,2046,3
73,2011-03-15,1,0,3,0,2,1,2056,3
74,2011-03-16,1,0,3,0,3,1,2192,3
75,2011-03-17,1,0,3,0,4,1,2744,3
76,2011-03-18,1,0,3,0,5,1,3239,3
77,2011-03-19,1,0,3,0,6,0,3117,3
78,2011-03-20,1,0,3,0,0,0,2471,3
79,2011-03-21,2,0,3,0,1,1,2077,3
80,2011-03-22,2,0,3,0,2,1,2703,3
81,2011-03-23,2,0,3,0,3,1,2121,3
82,2011-03-24,2,0,3,0,4,1,1865,3
83,2011-03-25,2,0,3,0,5,1,2210,3
84,2011-03-26,2,0,3,0,6,0,2496,3
85,2011-03-27,2,0,3,0,0,0,1693,3
86,2011-03-28,2,0,3,0,1,1,2028,3
87,2011-03-29,2,0,3,0,2,1,2425,3
88,2011-03-30,2,0,3,0,3,1,1536,3
89,2011-03-31,2,0,3,0,4,1,1685,3
90,2011-04-01,2,0,4,0,5,1,2227,4
91,2011-04-02,2,0,4,0,6,0,2252,4
92,2011-04-03,2,0,4,0,0,0,3249,4
93,2011-04-04,2,0,4,0,1,1,3115,4
94,2011-04-05,2,0,4,0,2,1,1795,4
95,2011-04-06,2,0,4,0,3,1,2808,4
96,2011-04-07,2,0,4,0,4,1,3141,4
